Rules,the,a,chased,caught,in ,on,with,cat,dog,man,woman,$,.
SENTENCE,NOUNPHRASE VERBPHRASE,NOUNPHRASE VERBPHRASE,SCAN,SCAN,SCAN,SCAN,SCAN,SCAN,SCAN,SCAN,SCAN,POP,SCAN
NOUNPHRASE,DETERMINER NOUN NOUNPHRASE',DETERMINER NOUN NOUNPHRASE',POP,POP,POP,POP,POP,SCAN,SCAN,SCAN,SCAN,POP,SCAN
NOUNPHRASE',SCAN,SCAN,#,#,PREPOSITIONALPHRASE NOUNPHRASE',PREPOSITIONALPHRASE NOUNPHRASE',PREPOSITIONALPHRASE NOUNPHRASE',SCAN,SCAN,SCAN,SCAN,#,SCAN
VERBPHRASE,SCAN,SCAN,chased VERBPHRASE'',caught VERBPHRASE'',SCAN,SCAN,SCAN,SCAN,SCAN,SCAN,SCAN,POP,POP
VERBPHRASE',SCAN,SCAN,SCAN,SCAN,PREPOSITIONALPHRASE VERBPHRASE',PREPOSITIONALPHRASE VERBPHRASE',PREPOSITIONALPHRASE VERBPHRASE',SCAN,SCAN,SCAN,SCAN,#,#
VERBPHRASE'',NOUNPHRASE VERBPHRASE',NOUNPHRASE VERBPHRASE',SCAN,SCAN,VERBPHRASE',VERBPHRASE',VERBPHRASE',SCAN,SCAN,SCAN,SCAN,#,#
PREPOSITIONALPHRASE,SCAN,SCAN,POP,POP,PREPOSITION NOUNPHRASE,PREPOSITION NOUNPHRASE,PREPOSITION NOUNPHRASE,SCAN,SCAN,SCAN,SCAN,POP,SCAN
DETERMINER,the,a,SCAN,SCAN,SCAN,SCAN,SCAN,POP,POP,POP,POP,SCAN,SCAN
NOUN,SCAN,SCAN,POP,POP,POP,POP,POP,cat,dog,man,woman,POP,SCAN
VERB ,SCAN,SCAN,chased,caught,SCAN,SCAN,SCAN,SCAN,SCAN,SCAN,SCAN,SCAN,SCAN
PREPOSITION ,POP,POP,SCAN,SCAN,in,on,with,SCAN,SCAN,SCAN,SCAN,SCAN,SCAN
